344.365611076355: 2792, Recall: 0.4995526927894078
346.36689591407776: 2806, Recall: 0.5020576131687243
347.3681228160858: 2806, Recall: 0.5020576131687243
347.36910033226013: 2808, Recall: 0.5024154589371981
348.37001299858093: 2808, Recall: 0.5024154589371981
349.3711094856262: 2808, Recall: 0.5024154589371981
350.3722560405731: 2808, Recall: 0.5024154589371981
351.3733777999878: 2811, Recall: 0.5029522275899088
352.3745160102844: 2813, Recall: 0.5033100733583825
353.3756139278412: 2819, Recall: 0.5043836106638039
355.37690901756287: 2824, Recall: 0.5052782250849883
356.37802147865295: 2826, Recall: 0.5056360708534622
357.3791296482086: 2828, Recall: 0.5059939166219359
358.3803005218506: 2828, Recall: 0.5059939166219359
359.3814673423767: 2828, Recall: 0.5059939166219359
360.3826217651367: 2828, Recall: 0.5059939166219359
361.3838210105896: 2828, Recall: 0.5059939166219359
362.38501715660095: 2829, Recall: 0.5061728395061729
363.3862109184265: 2830, Recall: 0.5063517623904097
363.3871560096741: 2830, Recall: 0.5063517623904097
364.38805961608887: 2830, Recall: 0.5063517623904097
365.38917088508606: 2832, Recall: 0.5067096081588836
367.3904719352722: 2834, Recall: 0.5070674539273573
368.39169573783875: 2835, Recall: 0.5072463768115942
369.3927540779114: 2835, Recall: 0.5072463768115942
370.39382910728455: 2835, Recall: 0.5072463768115942
371.3948836326599: 2835, Recall: 0.5072463768115942
372.3959593772888: 2835, Recall: 0.5072463768115942
373.397052526474: 2835, Recall: 0.5072463768115942
374.3982138633728: 2835, Recall: 0.5072463768115942
375.39940881729126: 2835, Recall: 0.5072463768115942
376.4005925655365: 2837, Recall: 0.507604222580068
376.4015440940857: 2839, Recall: 0.5079620683485417
377.402450799942: 2839, Recall: 0.5079620683485417
378.40351033210754: 2839, Recall: 0.5079620683485417
380.40476870536804: 2842, Recall: 0.5084988370012524
382.40612292289734: 2846, Recall: 0.5092145285382
384.4074559211731: 2847, Recall: 0.509393451422437
386.4088010787964: 2850, Recall: 0.5099302200751477
388.4101634025574: 2852, Recall: 0.5102880658436214
390.41151309013367: 2858, Recall: 0.5113616031490428
391.4125850200653: 2862, Recall: 0.5120772946859904
393.41388750076294: 2862, Recall: 0.5120772946859904
394.41510033607483: 2867, Recall: 0.5129719091071748
395.4162998199463: 2868, Recall: 0.5131508319914116
396.4174828529358: 2868, Recall: 0.5131508319914116
396.41844415664673: 2868, Recall: 0.5131508319914116
397.41940236091614: 2874, Recall: 0.514224369296833
399.42060899734497: 2891, Recall: 0.5172660583288603
400.4216830730438: 2893, Recall: 0.517623904097334
401.42280650138855: 2900, Recall: 0.5188763642869924
403.42409682273865: 2902, Recall: 0.5192342100554661
404.4252860546112: 2906, Recall: 0.5199499015924137
406.42668747901917: 2913, Recall: 0.5212023617820719
407.42781352996826: 2916, Recall: 0.5217391304347826
409.42911291122437: 2925, Recall: 0.5233494363929146
410.4302649497986: 2931, Recall: 0.524422973698336
412.4315905570984: 2938, Recall: 0.5256754338879943
414.4329147338867: 2946, Recall: 0.5271068169618894
415.4340214729309: 2946, Recall: 0.5271068169618894
416.4352443218231: 2948, Recall: 0.5274646627303632
417.4363765716553: 2958, Recall: 0.5292538915727322
419.4377272129059: 2968, Recall: 0.531043120415101
420.4389398097992: 2972, Recall: 0.5317588119520487
420.439923286438: 2972, Recall: 0.5317588119520487
422.4411427974701: 2977, Recall: 0.5326534263732331
423.44236040115356: 2977, Recall: 0.5326534263732331
424.4435567855835: 2978, Recall: 0.53283234925747
424.4445297718048: 2978, Recall: 0.53283234925747
426.4457151889801: 2982, Recall: 0.5335480407944176
427.44684195518494: 2982, Recall: 0.5335480407944176
428.4479432106018: 2985, Recall: 0.5340848094471283
429.44904351234436: 2985, Recall: 0.5340848094471283
431.4503004550934: 2985, Recall: 0.5340848094471283
432.4515290260315: 3000, Recall: 0.5367686527106817
434.45291233062744: 3023, Recall: 0.5408838790481303
434.4538686275482: 3023, Recall: 0.5408838790481303
435.45479369163513: 3023, Recall: 0.5408838790481303
436.4559049606323: 3023, Recall: 0.5408838790481303
437.45701360702515: 3023, Recall: 0.5408838790481303
438.45813179016113: 3023, Recall: 0.5408838790481303
441.4597177505493: 3023, Recall: 0.5408838790481303
443.4610550403595: 3037, Recall: 0.5433887994274468
445.46244835853577: 3046, Recall: 0.5449991053855788
447.46381306648254: 3050, Recall: 0.5457147969225264
449.4651324748993: 3053, Recall: 0.546251565575237
450.46632289886475: 3053, Recall: 0.546251565575237
451.46752524375916: 3053, Recall: 0.546251565575237
452.4685878753662: 3055, Recall: 0.5466094113437109
453.4696910381317: 3055, Recall: 0.5466094113437109
454.47070598602295: 3055, Recall: 0.5466094113437109
455.47180938720703: 3055, Recall: 0.5466094113437109
457.4731066226959: 3058, Recall: 0.5471461799964216
458.47429156303406: 3058, Recall: 0.5471461799964216
460.475594997406: 3058, Recall: 0.5471461799964216
462.47684812545776: 3060, Recall: 0.5475040257648953
463.4779632091522: 3060, Recall: 0.5475040257648953
464.47900319099426: 3060, Recall: 0.5475040257648953
467.4804434776306: 3060, Recall: 0.5475040257648953
468.4816806316376: 3070, Recall: 0.5492932546072643
469.4828038215637: 3078, Recall: 0.5507246376811594
471.4840672016144: 3088, Recall: 0.5525138665235284
472.48527932167053: 3094, Recall: 0.5535874038289498
474.4866373538971: 3100, Recall: 0.554660941134371
475.48778796195984: 3101, Recall: 0.554839864018608
476.4889829158783: 3101, Recall: 0.554839864018608
477.49012422561646: 3105, Recall: 0.5555555555555556
478.4913957118988: 3105, Recall: 0.5555555555555556
481.4929358959198: 3112, Recall: 0.5568080157452138
484.49455881118774: 3120, Recall: 0.558239398819109
487.4960913658142: 3122, Recall: 0.5585972445875828
487.497047662735: 3122, Recall: 0.5585972445875828
489.4982342720032: 3130, Recall: 0.5600286276614779
491.4996020793915: 3133, Recall: 0.5605653963141886
493.50089025497437: 3134, Recall: 0.5607443191984255
496.50238394737244: 3140, Recall: 0.5618178565038469
498.5037627220154: 3150, Recall: 0.5636070853462157
499.50498032569885: 3157, Recall: 0.564859545535874
501.5063169002533: 3163, Recall: 0.5659330828412954
504.50785398483276: 3174, Recall: 0.5679012345679012
507.5093266963959: 3180, Recall: 0.5689747718733226
509.510684967041: 3187, Recall: 0.5702272320629809
512.5122215747833: 3195, Recall: 0.571658615136876
515.5137355327606: 3201, Recall: 0.5727321524422974
517.5150508880615: 3232, Recall: 0.5782787618536411
518.5161447525024: 3239, Recall: 0.5795312220432993
519.5172080993652: 3239, Recall: 0.5795312220432993
521.5185465812683: 3255, Recall: 0.5823939881910897
523.519907951355: 3274, Recall: 0.5857935229915906
525.5212433338165: 3299, Recall: 0.590266595097513
526.5222914218903: 3300, Recall: 0.5904455179817498
528.5235614776611: 3301, Recall: 0.5906244408659868
529.5246093273163: 3302, Recall: 0.5908033637502237
530.5256657600403: 3303, Recall: 0.5909822866344605
532.5270385742188: 3310, Recall: 0.5922347468241188
533.5282719135284: 3333, Recall: 0.5963499731615673
535.5296170711517: 3368, Recall: 0.6026122741098586
537.5309374332428: 3385, Recall: 0.6056539631418858
538.53209233284: 3386, Recall: 0.6058328860261227
539.5332326889038: 3386, Recall: 0.6058328860261227
541.5345456600189: 3387, Recall: 0.6060118089103597
543.5359573364258: 3387, Recall: 0.6060118089103597
546.537442445755: 3387, Recall: 0.6060118089103597
548.5388340950012: 3391, Recall: 0.6067275004473072
551.5403950214386: 3391, Recall: 0.6067275004473072
554.5419454574585: 3393, Recall: 0.607085346215781
559.5439059734344: 3393, Recall: 0.607085346215781
562.5454721450806: 3394, Recall: 0.6072642691000179
564.5467865467072: 3394, Recall: 0.6072642691000179
567.5482778549194: 3394, Recall: 0.6072642691000179
570.5497765541077: 3394, Recall: 0.6072642691000179
573.5513341426849: 3398, Recall: 0.6079799606369655
575.5526657104492: 3401, Recall: 0.6085167292896762
578.554274559021: 3404, Recall: 0.6090534979423868
579.5553495883942: 3404, Recall: 0.6090534979423868
580.5563766956329: 3404, Recall: 0.6090534979423868
582.5577495098114: 3404, Recall: 0.6090534979423868
587.5597169399261: 3413, Recall: 0.6106638039005189
589.5610244274139: 3414, Recall: 0.6108427267847558
590.5622365474701: 3415, Recall: 0.6110216496689926
591.5633735656738: 3415, Recall: 0.6110216496689926
592.5644798278809: 3415, Recall: 0.6110216496689926
593.5654847621918: 3415, Recall: 0.6110216496689926
594.5665917396545: 3415, Recall: 0.6110216496689926
595.5676558017731: 3415, Recall: 0.6110216496689926
596.5687301158905: 3418, Recall: 0.6115584183217033
598.5701034069061: 3418, Recall: 0.6115584183217033
601.5716161727905: 3421, Recall: 0.612095186974414
604.5731163024902: 3427, Recall: 0.6131687242798354
605.5741703510284: 3427, Recall: 0.6131687242798354
606.5753774642944: 3427, Recall: 0.6131687242798354
606.576313495636: 3427, Recall: 0.6131687242798354
607.5773465633392: 3427, Recall: 0.6131687242798354
607.5782930850983: 3427, Recall: 0.6131687242798354
608.5792293548584: 3427, Recall: 0.6131687242798354
608.5802397727966: 3427, Recall: 0.6131687242798354
609.581113576889: 3427, Recall: 0.6131687242798354
610.5823240280151: 3427, Recall: 0.6131687242798354
610.5833308696747: 3427, Recall: 0.6131687242798354
611.5844371318817: 3427, Recall: 0.6131687242798354
611.5853855609894: 3427, Recall: 0.6131687242798354
612.5863993167877: 3427, Recall: 0.6131687242798354
613.5876178741455: 3427, Recall: 0.6131687242798354
613.5885722637177: 3427, Recall: 0.6131687242798354
614.5896270275116: 3427, Recall: 0.6131687242798354
614.5905878543854: 3427, Recall: 0.6131687242798354
615.5916376113892: 3427, Recall: 0.6131687242798354
616.5928695201874: 3427, Recall: 0.6131687242798354
616.5938251018524: 3427, Recall: 0.6131687242798354
617.5948548316956: 3427, Recall: 0.6131687242798354
617.5958478450775: 3427, Recall: 0.6131687242798354
618.5968403816223: 3427, Recall: 0.6131687242798354
618.5977864265442: 3427, Recall: 0.6131687242798354
619.5987105369568: 3427, Recall: 0.6131687242798354
620.5999178886414: 3427, Recall: 0.6131687242798354
620.6008715629578: 3427, Recall: 0.6131687242798354
621.6018283367157: 3427, Recall: 0.6131687242798354
622.6029613018036: 3427, Recall: 0.6131687242798354
622.6039249897003: 3427, Recall: 0.6131687242798354
623.6048519611359: 3427, Recall: 0.6131687242798354
624.6060082912445: 3432, Recall: 0.6140633387010198
625.6071610450745: 3432, Recall: 0.6140633387010198
626.6083483695984: 3434, Recall: 0.6144211844694937
627.609560251236: 3434, Recall: 0.6144211844694937
627.6105246543884: 3434, Recall: 0.6144211844694937
628.6115076541901: 3434, Recall: 0.6144211844694937
629.6125864982605: 3436, Recall: 0.6147790302379674
630.6136713027954: 3437, Recall: 0.6149579531222044
631.6148278713226: 3437, Recall: 0.6149579531222044
632.6160218715668: 3437, Recall: 0.6149579531222044
633.6172573566437: 3437, Recall: 0.6149579531222044
633.6182215213776: 3437, Recall: 0.6149579531222044
634.619133234024: 3444, Recall: 0.6162104133118625
635.6202149391174: 3444, Recall: 0.6162104133118625
636.6213352680206: 3444, Recall: 0.6162104133118625
637.6225249767303: 3444, Recall: 0.6162104133118625
638.6249618530273: 3444, Recall: 0.6162104133118625
639.6263122558594: 3446, Recall: 0.6165682590803364
640.6275537014008: 3448, Recall: 0.6169261048488102
641.6287853717804: 3448, Recall: 0.6169261048488102
642.6299998760223: 3448, Recall: 0.6169261048488102
643.6311910152435: 3453, Recall: 0.6178207192699946
644.6324076652527: 3453, Recall: 0.6178207192699946
645.6336023807526: 3453, Recall: 0.6178207192699946
645.6345636844635: 3453, Recall: 0.6178207192699946
646.635543346405: 3453, Recall: 0.6178207192699946
647.6365654468536: 3453, Recall: 0.6178207192699946
648.6376159191132: 3453, Recall: 0.6178207192699946
649.6387228965759: 3453, Recall: 0.6178207192699946
650.6397840976715: 3453, Recall: 0.6178207192699946
